web-scraper-order,web-scraper-start-url,links,links-href,Name,Company,Founded,Origin,Published,About
"1704574769-11","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessAddressing barriers to support business innovation","https://www.ellenmacarthurfoundation.org/circular-examples/the-netherlands-addressing-barriers-to-support-business-innovation","Addressing barriers to support business innovation: The Netherlands","Netherlands Ministry of Infrastructure and Environment","","","1 October 2021","Many circular economy opportunities are profitable but are not realised due to non-financial barriers. The Green Deal, a joint initiative between two Dutch ministries, addresses these barriers by providing advisory support to selected innovative business initiatives."
"1704574772-12","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessFinancing the expansion of circular business modelsJLG take machines back to a dedicated reconditioning facility after their first use cycle.","https://www.ellenmacarthurfoundation.org/circular-examples/financing-the-expansion-of-circular-business-models","Financing the expansion of circular business models: JLG & DLL","JLG & DLL","","","1 October 2021","The Need: mechanical access products such as 'cherry pickers' contain many reusable components and materials that could yield many revenue cycles."
"1704574774-13","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessCollection, refurbishment and resale of mobile phone handsetsMazuma Mobile is an online mobile phone reuse and recycling service allowing consumers to unlock...","https://www.ellenmacarthurfoundation.org/circular-examples/collection-refurbishment-and-resale-of-mobile-phone-handsets","Collection, refurbishment and resale of mobile phone handsets: Mazuma Mobile","Mazuma Mobile","2006","UK","5 October 2021","Mazuma Mobile is an online mobile phone reuse and recycling service allowing consumers to unlock the cash value of their mobile phones, offering same day payments. Collected handsets are refurbished by an external partner where necessary and then sold to partners in emerging markets, insurance dealers and retailers in UK."
"1704574777-14","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessBelgium: Flanders Materials ProgrammeThe Flanders Materials Programme (FMP) combines an ambitious long-term vision, a 45-item plan of...","https://www.ellenmacarthurfoundation.org/circular-examples/belgium-flanders-materials-programme","Belgium: Flanders Materials Programme","Flanders Public Waste, Materials & Soil Agency","","","5 October 2021","The Flanders Materials Programme (FMP) combines an ambitious long-term vision, a 45-item plan of concrete actions and the development of policy-relevant research. It aims to streamline the many public and private initiatives in the field of sustainable materials management into a coherent whole."
"1704574780-15","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessA Second LifeA repair programme and distribution network for defective or returned products","https://www.ellenmacarthurfoundation.org/circular-examples/a-second-life-returns-management-parts-recovery-and-product-repairs","A Second Life - returns management, parts recovery and product repairs: CoreCentrics Solutions","CoreCentrics Solutions","1995","Chicago, IL","5 October 2021","A repair programme and distribution network for defective or returned products"
"1704574782-16","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessFashionPlasticsProduction of nylon yarn from waste materialsYarn producer, Aquafil has designed the ECONYL® Regeneration System, which enables Nylon 6 waste to...","https://www.ellenmacarthurfoundation.org/circular-examples/production-of-nylon-yarn-from-waste-materials","Production of nylon yarn from waste materials: Aquafil","Aquafil","1965","","5 October 2021","Yarn producer, Aquafil has designed the ECONYL® Regeneration System, which enables Nylon 6 waste to be regenerated into new Nylon 6 with no loss of quality. Key to success is the Reclaiming Programme, an essential tool to facilitate a reverse supply chain and ensure reliable materials inputs."
"1704574785-17","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessBusiness-to-business asset sharingFLOOW2 is the first business-to-business sharing marketplace that enables companies and...","https://www.ellenmacarthurfoundation.org/circular-examples/business-to-business-asset-sharing","Business-to-business asset sharing: FLOOW2","FLOOW2","","","5 October 2021","FLOOW2 is the first business-to-business sharing marketplace that enables companies and institutions to share overcapacity of equipment, knowledge and skills of personnel. Users can register on the platform for free and participants pay a subscription to advertise their equipment on the platform, providing a revenue stream for FLOOW2."
"1704574787-18","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessFinanceThe role of a bank in the circular economy: Intesa SanpaoloPromoting and supporting the circular economy is of primary importance to Intesa Sanpaolo and is...","https://www.ellenmacarthurfoundation.org/circular-examples/embracing-the-circular-economy-at-italys-largest-bank-intesa-sanpaolo","Embracing the circular economy at Italy’s largest bank: Intesa Sanpaolo","Embracing the circular economy at Italy’s largest bank: Intesa Sanpaolo","2007","Italy","6 October 2021","Intesa Sanpaolo is an Italian international banking group. With 14.6 million customers, it is Italy’s largest bank by total assets and one of the top 30 largest in the world. Intesa Sanpaolo Group is active in Europe, Central Eastern Europe, the Middle East and North Africa, as well as the United States, Brazil, Russia, India and China."
"1704574790-19","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessCreating trust in the sharing economy: OmocomOn-demand micro-insurance for the sharing economy. The Swedish company provides insurance for hire...","https://www.ellenmacarthurfoundation.org/circular-examples/creating-trust-in-the-sharing-economy-omocom","Creating trust in the sharing economy: Omocom","Omocom","2017","Stockholm, Sweden","7 October 2021","The Swedish company provides insurance for hire goods. But here’s the smart bit - they only insure an item while it’s being used, transported, accessed, or similar, for a short period of time. For those looking to earn extra money by listing their items on peer-to-peer platforms but worried about potential damage, Omocom has the solution."
"1704574792-20","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessMultinational companiesExamples of some of the world’s largest companies that have started to embrace the circular economy.","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Circular examples collection: Multinational companies","","","","",""
"1704574795-21","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBiodiversityBusinessClimateCreating a regenerative economy in the Amazon ForestNatura produces a huge range of products including  soaps, creams, and shampoos, all of  which ...","https://www.ellenmacarthurfoundation.org/circular-examples/natura-brazil","Creating a regenerative economy in the Amazon Forest: Natura Brazil","Natura Brazil","","","20 October 2021","Natura is South America’s largest cosmetic company. The brand became global when it purchased the Body Shop in 2017, and most recently Avon products, making it one of the largest beauty companies in the world."
"1704574797-22","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessClimateBuilt EnvironmentCooling as a service: KaerKaer has developed an innovative business model which reduces the energy and material intensity...","https://www.ellenmacarthurfoundation.org/circular-examples/cooling-as-a-service-kaer","Cooling as a service: Kaer","Kaer","","","5 November 2021","“We’re stuck in a vicious cycle. Rising global temperatures are driving increased demand for cooling, which causes more global warming and creates the need for even more cooling. We must break this cycle and transform how we cool.”"
"1704574800-23","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessA mobility revolution in WalesThe current process rewards the continual consumption of finite resources, degrades our environment...","https://www.ellenmacarthurfoundation.org/circular-examples/a-mobility-revolution-in-wales","A mobility revolution in Wales: Riversimple","Riversimple","2007","UK","2 December 2021","The Problem: the automobile industry relies on fast turnover, and a high throughput of materials and parts. The current process rewards the continual consumption of finite resources, degrades our environment and cannot work in the long run."
"1704574802-24","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessHow tool sharing could become a public utilityMembers have access to 7000+ high quality tools; an inspiring and creative workspace and...","https://www.ellenmacarthurfoundation.org/circular-examples/how-tool-sharing-could-become-a-public-utility","How tool sharing could become a public utility: Toronto Tool Library and Makerspace","Toronto Tool Library and Makerspace","2012","","2 December 2021","The Challenge: Tools and other equipment have a low frequency use, but are found in many households and therefore represent a high material intensity, underutilised and space occupying item."
"1704574805-25","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessBorrow stuff you need. Lend stuff you don’t.A peer-to-peer sharing platform for technical equipment; a thriving marketplace for lenders and...","https://www.ellenmacarthurfoundation.org/circular-examples/borrow-stuff-you-need-lend-stuff-you-dont","Borrow stuff you need, Lend stuff you don’t: Fat Lama","Fat Lama","2016","London","2 December 2021","The Need - a lot of equipment owned by individuals is used only a few hours in its lifetime. An effective sharing economy model would help realise underutilised potential."
"1704574807-26","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessCitiesBuilt EnvironmentA building that can be reused: Brummen Town HallBrummen Town Hall was designed for future reuse and modular assembly.","https://www.ellenmacarthurfoundation.org/circular-examples/brummen-town-hall","A building that can be reused: Brummen Town Hall","","","","11 January 2022","Capturing components and materials at the end of a building’s use phase requires a conscious decision at the design stage, so that the building is seen not only as an aesthetic and functional entity, but also a future material store."
"1704574810-27","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleDesignBusinessBuilt EnvironmentWhy buy light bulbs when you can buy light? SignifySignify’s circular lighting is a completely new approach to lighting where the capital expense of...","https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify","Why buy light bulbs when you can buy light? Signify","Signify","2016","Netherlands","3 March 2022","Signify, formerly Philips Lighting, is a multinational lighting corporation producing and selling electric lights and lighting fixtures that are installed all over the world. Signify employs almost 40,000 employees and has production facilities in over 70 countries."
"1704574812-28","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessReusing valuable resources more effectively: RheaplyRheaply enables organizations of all sizes to access a re-commerce platform for furniture,...","https://www.ellenmacarthurfoundation.org/circular-examples/rheaply","Reusing valuable resources more effectively: Rheaply","Rheaply","2014","United States","17 November 2023","Rheaply enables organisations of all sizes to access a re-commerce platform for furniture, fixtures, equipment, and building materials. By combining smart inventory management and connected nationwide marketplaces, Rheaply keeps furniture and other resources out of landfills and into the hands of people who need them."
